DATE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HOURLYDewPointTempF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection
1/1/2016 0:56,OVC:08 41,10,36,32,25,64,7,240
1/1/2016 1:56,OVC:08 44,10,36,32,25,64,6,260
1/1/2016 2:56,OVC:08 41,10,36,32,25,64,3,250
1/1/2016 3:56,OVC:08 42,10,36,32,24,62,7,250
1/1/2016 4:56,OVC:08 41,10,35,31,24,64,5,240
1/1/2016 5:56,OVC:08 43,10,34,30,24,67,5,240
1/1/2016 6:56,BKN:07 48,10,33,30,24,70,5,230
1/1/2016 7:56,OVC:08 49,10,34,30,24,67,5,230
1/1/2016 8:56,OVC:08 45,10,34,31,25,70,5,220
1/1/2016 9:56,BKN:07 50,10,37,32,24,59,7,230
1/1/2016 10:56,OVC:08 40,10,38,33,24,57,8,250
1/1/2016 11:56,BKN:07 44,10,38,32,22,52,8,270
1/1/2016 12:56,OVC:08 43,10,38,32,22,52,10,280
1/1/2016 13:56,BKN:07 42,10,38,32,22,52,13,260
1/1/2016 14:56,BKN:07 43,10,37,32,22,54,8,270
1/1/2016 15:56,BKN:07 45,10,37,32,22,54,5,250
1/1/2016 16:56,OVC:08 50,10,35,31,24,64,6,200
1/1/2016 17:56,SCT:04 49 OVC:08 70,10,35,31,24,64,3,270
1/1/2016 18:56,SCT:04 37 BKN:07 48 OVC:08 70,9,34,31,26,73,13,260
1/1/2016 19:56,OVC:08 80,10,34,30,24,67,8,260
1/1/2016 20:56,BKN:07 80,10,34,30,24,67,9,270
1/1/2016 21:56,FEW:02 85,10,33,28,19,56,16,270
1/1/2016 22:56,FEW:02 90,10,32,27,17,54,11,270
1/1/2016 23:56,BKN:07 85,10,31,26,17,56,10,270
1/1/2016 23:59,,,,,,,,
1/2/2016 0:56,BKN:07 80,10,31,26,17,56,11,260
1/2/2016 1:56,BKN:07 80,10,30,26,17,58,9,260
1/2/2016 2:56,BKN:07 80,10,30,26,17,58,8,260
1/2/2016 3:56,CLR:00,10,29,25,17,61,6,260
1/2/2016 4:56,SCT:04 60,10,28,25,17,63,7,240
1/2/2016 5:56,OVC:08 55,10,30,26,18,61,7,240
1/2/2016 6:56,OVC:08 50,10,30,26,19,64,7,240
1/2/2016 7:56,BKN:07 50,10,30,26,19,64,5,220
1/2/2016 8:56,FEW:02 50,10,32,28,20,61,8,240
1/2/2016 9:56,CLR:00,10,34,29,19,54,13,250
1/2/2016 10:56,BKN:07 42,10,36,30,18,48,11,300
1/2/2016 11:56,CLR:00,10,37,30,18,46,13,VRB
1/2/2016 12:56,SCT:04 41,10,38,31,18,44,14,300
1/2/2016 13:56,SCT:04 46,10,37,30,18,46,10,260
1/2/2016 14:56,FEW:02 48,10,37,30,18,46,14,290
1/2/2016 15:56,CLR:00,10,35,29,17,48,7,290
1/2/2016 16:56,SCT:04 42,10,34,28,17,50,8,280
1/2/2016 17:56,BKN:07 43,10,32,27,18,56,6,250
1/2/2016 18:56,BKN:07 43,10,32,27,18,56,3,200
1/2/2016 19:56,OVC:08 42,10,32,28,19,59,5,250
1/2/2016 20:56,OVC:08 42,10,34,29,19,54,9,250
1/2/2016 21:56,OVC:08 43,10,33,28,19,56,9,200
1/2/2016 22:56,OVC:08 43,10,33,29,20,58,10,210
1/2/2016 23:56,OVC:08 41,10,33,29,20,58,10,200
1/2/2016 23:59,,,,,,,,
1/3/2016 0:56,OVC:08 39,10,32,28,21,64,8,210
1/3/2016 1:56,OVC:08 39,10,32,28,20,61,7,190
1/3/2016 2:56,BKN:07 38,10,30,27,20,66,8,190
1/3/2016 3:56,CLR:00,10,30,27,20,66,7,200
1/3/2016 4:56,CLR:00,10,30,27,20,66,7,200
1/3/2016 5:56,CLR:00,10,29,26,20,69,6,210
1/3/2016 6:56,BKN:07 150,10,28,25,19,69,7,200
1/3/2016 7:56,CLR:00,10,29,26,20,69,8,220
1/3/2016 8:56,SCT:04 150,10,31,28,21,67,11,250
1/3/2016 9:56,CLR:00,10,35,30,22,59,8,220
1/3/2016 10:56,FEW:02 43,10,38,32,22,52,7,210
1/3/2016 11:56,SCT:04 120,10,41,34,23,49,11,270
1/3/2016 12:56,BKN:07 50,10,40,33,22,49,9,250
1/3/2016 13:56,FEW:02 48,10,41,34,22,47,15,260
1/3/2016 14:56,FEW:02 48,10,41,34,22,47,10,250
1/3/2016 15:56,SCT:04 50,10,39,33,22,50,11,250
1/3/2016 16:56,BKN:07 50,10,39,33,22,50,10,260
1/3/2016 17:56,CLR:00,10,37,32,22,54,5,240
1/3/2016 18:56,CLR:00,10,32,29,23,69,5,180
1/3/2016 19:56,CLR:00,10,32,29,22,66,5,260
1/3/2016 20:56,CLR:00,10,33,29,22,64,6,240
1/3/2016 21:56,CLR:00,10,32,29,23,69,5,270
1/3/2016 22:56,CLR:00,10,31,28,23,72,5,250
1/3/2016 23:56,CLR:00,10,27,25,21,78,0,0
1/3/2016 23:59,,,,,,,,
1/4/2016 0:56,CLR:00,10,25,24,22,88,3,260
1/4/2016 1:56,CLR:00,10,23,22,21,92,0,0
1/4/2016 2:56,CLR:00,10,22,21,19,89,0,0
1/4/2016 3:56,CLR:00,10,22,21,20,92,0,0
1/4/2016 4:56,OVC:08 38,10,28,26,22,78,7,360
1/4/2016 5:56,OVC:08 40,10,28,25,20,72,10,360
1/4/2016 6:56,BKN:07 38 BKN:07 46 OVC:08 70,10,27,24,18,69,11,360
1/4/2016 7:56,OVC:08 41,10,26,23,15,63,10,VRB
1/4/2016 8:56,BKN:07 40,10,25,21,13,60,14,330
1/4/2016 9:56,FEW:02 55 OVC:08 80,10,24,21,12,60,11,350
1/4/2016 10:56,BKN:07 30,10,24,20,9,52,9,330
1/4/2016 11:56,OVC:08 33,5,23,19,9,55,9,330
1/4/2016 12:56,OVC:08 30,3,22,19,12,66,11,330
1/4/2016 13:21,OVC:08 15,3,23,20,12,63,11,330
1/4/2016 13:53,BKN:07 41 OVC:08 49,10,23,19,9,54,9,350
1/4/2016 13:56,OVC:08 41,10,23,19,9,55,11,340
1/4/2016 14:56,FEW:02 41 OVC:08 50,10,23,19,9,55,10,340
1/4/2016 15:56,OVC:08 55,10,21,18,8,57,9,340
1/4/2016 16:56,SCT:04 55 OVC:08 70,10,20,17,8,60,6,VRB
1/4/2016 17:56,SCT:04 55,10,18,15,3,52,11,330
1/4/2016 18:56,FEW:02 50,10,16,13,3,56,11,330
1/4/2016 19:56,OVC:08 50,10,15,12,2,56,15,340
1/4/2016 20:56,OVC:08 50,10,14,11,1,56,13,330
1/4/2016 21:56,FEW:02 48,10,12,9,-1,56,11,340
1/4/2016 22:56,CLR:00,10,10,8,-2,58,11,330
1/4/2016 23:56,CLR:00,10,9,7,-4,55,9,340
1/4/2016 23:59,,,,,,,,
1/5/2016 0:56,CLR:00,10,8,6,-4,57,11,330
1/5/2016 1:56,CLR:00,10,7,5,-5,57,14,350
1/5/2016 2:56,CLR:00,10,6,4,-6,57,8,330
1/5/2016 3:56,CLR:00,10,6,4,-5,60,10,330
1/5/2016 4:56,CLR:00,10,6,4,-5,60,10,330
1/5/2016 5:56,CLR:00,10,5,4,-4,66,8,340
1/5/2016 6:56,CLR:00,10,5,4,-4,66,8,330
1/5/2016 7:56,CLR:00,10,7,5,-6,55,6,330
1/5/2016 8:56,CLR:00,10,11,8,-5,48,10,330
1/5/2016 9:56,CLR:00,10,14,11,-4,44,8,360
1/5/2016 10:56,CLR:00,10,17,13,-5,37,6,320
1/5/2016 11:56,CLR:00,10,20,15,-5,32,7,VRB
1/5/2016 12:56,CLR:00,10,23,17,-5,29,7,340
1/5/2016 13:56,CLR:00,10,24,18,-6,26,7,310
1/5/2016 14:56,CLR:00,10,25,18,-5,26,6,290
1/5/2016 15:56,CLR:00,10,25,18,-7,24,0,0
